Year,State,FAH sales million nominal U.S. dollars without taxes and tips,FAFH sales million nominal U.S. dollars without taxes and tips,Total sales million nominal U.S. dollars without taxes and tips,FAH sales million constant 1988 U.S. dollars without taxes and tips,FAFH sales million constant 1988 U.S. dollars without taxes and tips,Total food sales million constant 1988 U.S. dollars without taxes and tips
2000,Hawaii,"1,913.49","2,598.72","4,512.21","1,274.93","1,891.41","3,166.34"
2001,Hawaii,"2,027.25","2,614.08","4,641.32","1,296.55","1,844.33","3,140.87"
2002,Hawaii,"2,106.24","2,636.25","4,742.49","1,322.36","1,800.59","3,122.95"
2003,Hawaii,"2,145.60","2,800.35","4,945.95","1,311.70","1,876.30","3,188.00"
2004,Hawaii,"2,276.72","3,054.54","5,331.25","1,341.82","1,985.53","3,327.35"
2005,Hawaii,"2,392.16","3,232.26","5,624.42","1,397.12","2,028.42","3,425.54"
2006,Hawaii,"2,452.33","3,416.79","5,869.12","1,415.22","2,083.11","3,498.34"
2007,Hawaii,"2,554.13","3,578.41","6,132.54","1,407.69","2,106.16","3,513.85"
2008,Hawaii,"2,704.69","3,629.31","6,333.99","1,404.05","2,057.83","3,461.89"
2009,Hawaii,"2,718.58","3,550.43","6,269.00","1,421.61","1,952.28","3,373.89"
2010,Hawaii,"2,783.94","3,676.98","6,460.92","1,464.58","1,998.42","3,463.00"
2011,Hawaii,"2,902.96","3,954.81","6,857.77","1,456.05","2,102.23","3,558.28"
2012,Hawaii,"2,996.06","4,198.57","7,194.63","1,476.11","2,165.55","3,641.66"
2013,Hawaii,"3,066.28","4,418.39","7,484.67","1,497.30","2,231.92","3,729.23"
2014,Hawaii,"3,184.28","4,676.94","7,861.22","1,512.69","2,305.56","3,818.25"
2015,Hawaii,"3,308.66","5,008.49","8,317.15","1,545.87","2,400.01","3,945.88"
2016,Hawaii,"3,416.28","5,309.13","8,725.41","1,614.68","2,463.23","4,077.92"
2017,Hawaii,"3,533.19","5,709.29","9,242.48","1,675.13","2,564.82","4,239.94"
2018,Hawaii,"3,766.27","5,996.31","9,762.57","1,777.86","2,605.01","4,382.87"
2019,Hawaii,"3,935.19","6,348.05","10,283.24","1,829.71","2,663.13","4,492.84"
2020,Hawaii,"4,107.60","4,612.56","8,720.16","1,836.64","1,850.30","3,686.94"
2021,Hawaii,"4,475.77","6,388.84","10,864.62","1,917.62","2,443.70","4,361.32"
2022,Hawaii,"5,232.95","7,647.86","12,880.80","2,012.52","2,726.63","4,739.15"
2023,Hawaii,"5,272.70","8,643.04","13,915.75","1,938.11","2,867.76","4,805.88"
1997,Idaho,"1,856.40",958.18,"2,814.58","1,327.30",747.82,"2,075.12"
1998,Idaho,"1,887.62","1,020.64","2,908.26","1,309.41",775.84,"2,085.25"
1999,Idaho,"1,995.87","1,057.89","3,053.76","1,357.00",787.18,"2,144.18"
2000,Idaho,"2,077.10","1,157.86","3,234.96","1,383.94",842.72,"2,226.66"
2001,Idaho,"2,101.38","1,203.25","3,304.63","1,343.96",848.94,"2,192.90"
2002,Idaho,"2,103.15","1,236.96","3,340.11","1,320.43",844.86,"2,165.28"
2003,Idaho,"2,264.42","1,306.71","3,571.13","1,384.34",875.53,"2,259.87"
2004,Idaho,"2,458.37","1,395.08","3,853.45","1,448.88",906.84,"2,355.72"
2005,Idaho,"2,716.14","1,495.52","4,211.67","1,586.35",938.52,"2,524.87"
2006,Idaho,"2,970.43","1,611.66","4,582.09","1,714.22",982.58,"2,696.80"
2007,Idaho,"3,213.36","1,736.48","4,949.85","1,771.03","1,022.05","2,793.08"
2008,Idaho,"3,413.98","1,794.93","5,208.90","1,772.26","1,017.73","2,789.99"
2009,Idaho,"3,233.97","1,692.47","4,926.45","1,691.13",930.64,"2,621.77"
2010,Idaho,"3,232.93","1,709.33","4,942.26","1,700.79",929.01,"2,629.80"
2011,Idaho,"3,346.31","1,826.03","5,172.34","1,678.42",970.65,"2,649.07"
2012,Idaho,"3,683.34","1,926.29","5,609.62","1,814.72",993.55,"2,808.27"
2013,Idaho,"3,785.24","2,085.21","5,870.46","1,848.38","1,053.33","2,901.71"
2014,Idaho,"3,960.06","2,296.89","6,256.95","1,881.23","1,132.29","3,013.51"
2015,Idaho,"4,062.28","2,567.69","6,629.97","1,897.97","1,230.41","3,128.38"
2016,Idaho,"4,145.48","2,831.48","6,976.96","1,959.34","1,313.70","3,273.03"
2017,Idaho,"4,420.75","3,111.87","7,532.62","2,095.93","1,397.96","3,493.89"
2018,Idaho,"4,625.13","3,376.47","8,001.59","2,183.28","1,466.86","3,650.14"
2019,Idaho,"4,989.15","3,680.72","8,669.87","2,319.76","1,544.13","3,863.90"
2020,Idaho,"5,528.36","3,680.45","9,208.80","2,471.90","1,476.39","3,948.29"
2021,Idaho,"6,085.59","4,683.70","10,769.29","2,607.34","1,791.49","4,398.83"
2022,Idaho,"6,776.05","5,202.42","11,978.46","2,605.97","1,854.78","4,460.75"
2023,Idaho,"7,109.19","5,603.90","12,713.08","2,613.16","1,859.37","4,472.53"
1997,Illinois,"16,939.02","11,254.19","28,193.21","12,668.50","8,582.59","21,251.09"
1998,Illinois,"17,481.13","11,842.71","29,323.83","12,840.32","8,803.63","21,643.94"
1999,Illinois,"18,687.60","12,240.57","30,928.18","13,443.39","8,875.54","22,318.94"
2000,Illinois,"19,762.36","13,098.17","32,860.53","13,895.22","9,236.09","23,131.31"
2001,Illinois,"20,674.85","13,500.67","34,175.52","14,097.60","9,254.24","23,351.84"
2002,Illinois,"21,280.04","13,944.92","35,224.96","14,399.37","9,357.46","23,756.83"
2003,Illinois,"21,618.83","14,811.54","36,430.37","14,425.09","9,744.87","24,169.95"
2004,Illinois,"21,936.39","15,829.95","37,766.34","14,224.67","10,115.73","24,340.39"
2005,Illinois,"22,573.44","16,651.02","39,224.46","14,330.96","10,289.07","24,620.03"
2006,Illinois,"23,194.37","17,784.34","40,978.71","14,493.33","10,697.83","25,191.16"
2007,Illinois,"24,209.54","18,713.81","42,923.34","14,549.71","10,882.21","25,431.93"
2008,Illinois,"24,942.67","19,109.38","44,052.05","14,088.45","10,609.37","24,697.82"
2009,Illinois,"24,192.31","18,824.36","43,016.67","13,536.22","10,075.05","23,611.27"
2010,Illinois,"24,220.36","19,100.07","43,320.43","13,491.70","10,111.44","23,603.14"
2011,Illinois,"24,955.84","20,097.38","45,053.22","13,277.14","10,377.94","23,655.08"
2012,Illinois,"26,492.93","21,046.52","47,539.45","13,735.07","10,560.88","24,295.95"
2013,Illinois,"26,007.00","21,914.61","47,921.61","13,408.97","10,737.37","24,146.34"
2014,Illinois,"26,190.37","23,361.47","49,551.84","13,176.35","11,138.45","24,314.80"
2015,Illinois,"25,555.48","25,493.95","51,049.43","12,786.29","11,794.79","24,581.08"
2016,Illinois,"24,983.86","27,109.43","52,093.29","12,668.75","12,229.35","24,898.10"
2017,Illinois,"24,387.16","28,803.63","53,190.79","12,410.46","12,780.08","25,190.54"
2018,Illinois,"24,810.19","29,936.12","54,746.31","12,622.06","12,972.41","25,594.47"
2019,Illinois,"25,167.33","31,104.13","56,271.47","12,740.96","13,127.82","25,868.78"
2020,Illinois,"26,600.03","25,980.29","52,580.32","13,088.45","10,692.90","23,781.35"
2021,Illinois,"28,389.54","32,224.10","60,613.64","13,505.81","12,620.70","26,126.51"
2022,Illinois,"30,600.98","37,419.92","68,020.90","12,899.42","13,478.54","26,377.95"
2023,Illinois,"30,517.99","41,183.45","71,701.45","12,226.62","13,888.10","26,114.71"
1997,Indiana,"8,144.99","5,587.80","13,732.79","6,091.54","4,261.33","10,352.88"
1998,Indiana,"8,282.34","5,784.82","14,067.16","6,083.58","4,300.31","10,383.90"
1999,Indiana,"8,437.15","6,028.97","14,466.11","6,069.47","4,371.56","10,441.03"
2000,Indiana,"8,760.09","6,397.75","15,157.84","6,159.35","4,511.33","10,670.69"
2001,Indiana,"8,880.36","6,666.10","15,546.46","6,055.27","4,569.38","10,624.65"
2002,Indiana,"8,876.16","6,868.41","15,744.58","6,006.15","4,608.91","10,615.06"
2003,Indiana,"9,191.59","7,147.64","16,339.23","6,133.05","4,702.61","10,835.66"
2004,Indiana,"9,679.60","7,530.24","17,209.84","6,276.74","4,812.01","11,088.75"
2005,Indiana,"10,265.17","7,855.66","18,120.83","6,516.94","4,854.20","11,371.14"
2006,Indiana,"10,755.15","8,262.33","19,017.48","6,720.51","4,970.04","11,690.55"
2007,Indiana,"11,111.25","8,507.90","19,619.15","6,677.76","4,947.41","11,625.17"
2008,Indiana,"11,446.46","8,754.14","20,200.61","6,465.34","4,860.23","11,325.57"
2009,Indiana,"11,209.19","8,613.63","19,822.81","6,271.83","4,610.13","10,881.95"
2010,Indiana,"11,375.42","8,794.17","20,169.59","6,336.56","4,655.57","10,992.13"
2011,Indiana,"11,872.53","9,310.36","21,182.89","6,316.49","4,807.71","11,124.20"
2012,Indiana,"12,848.98","9,834.44","22,683.43","6,661.46","4,934.80","11,596.26"
2013,Indiana,"13,190.73","10,260.11","23,450.84","6,801.02","5,027.08","11,828.10"
2014,Indiana,"13,591.28","10,869.36","24,460.65","6,837.76","5,182.38","12,020.14"
2015,Indiana,"13,805.10","11,771.08","25,576.18","6,907.17","5,445.89","12,353.06"
2016,Indiana,"14,126.03","12,427.54","26,553.57","7,162.99","5,606.19","12,769.19"
2017,Indiana,"14,822.48","13,029.58","27,852.06","7,543.06","5,781.18","13,324.24"
2018,Indiana,"15,092.55","13,522.67","28,615.22","7,678.26","5,859.87","13,538.13"
2019,Indiana,"15,373.13","14,106.09","29,479.22","7,782.65","5,953.62","13,736.27"
2020,Indiana,"16,050.79","13,014.46","29,065.25","7,897.74","5,356.45","13,254.19"
2021,Indiana,"17,020.43","15,863.33","32,883.75","8,097.16","6,212.94","14,310.10"
2022,Indiana,"18,069.80","17,498.68","35,568.48","7,617.07","6,302.97","13,920.04"
2023,Indiana,"18,526.06","18,900.59","37,426.66","7,422.21","6,373.76","13,795.97"
1997,Iowa,"4,195.19","2,226.27","6,421.46","3,137.53","1,697.79","4,835.32"
1998,Iowa,"4,322.25","2,331.14","6,653.39","3,174.80","1,732.92","4,907.72"
1999,Iowa,"4,505.90","2,412.64","6,918.54","3,241.43","1,749.39","4,990.82"
2000,Iowa,"4,581.09","2,520.36","7,101.45","3,221.03","1,777.21","4,998.25"
2001,Iowa,"4,796.74","2,556.52","7,353.26","3,270.77","1,752.41","5,023.17"
2002,Iowa,"4,817.95","2,649.98","7,467.93","3,260.12","1,778.21","5,038.34"
2003,Iowa,"4,973.94","2,763.72","7,737.66","3,318.84","1,818.32","5,137.16"
2004,Iowa,"5,192.49","2,941.63","8,134.12","3,367.07","1,879.77","5,246.84"
2005,Iowa,"5,642.37","3,107.28","8,749.65","3,582.11","1,920.06","5,502.17"
2006,Iowa,"5,980.40","3,289.19","9,269.59","3,736.94","1,978.55","5,715.49"
2007,Iowa,"6,239.08","3,423.31","9,662.39","3,749.63","1,990.68","5,740.31"
2008,Iowa,"6,529.80","3,493.79","10,023.58","3,688.25","1,939.72","5,627.97"
2009,Iowa,"6,487.43","3,485.73","9,973.16","3,629.88","1,865.61","5,495.49"
2010,Iowa,"6,541.43","3,560.11","10,101.54","3,643.84","1,884.70","5,528.54"
2011,Iowa,"6,852.03","3,773.12","10,625.15","3,645.45","1,948.37","5,593.83"
2012,Iowa,"7,241.08","3,971.98","11,213.07","3,754.09","1,993.09","5,747.18"
2013,Iowa,"7,361.31","4,245.06","11,606.38","3,795.43","2,079.93","5,875.35"
2014,Iowa,"7,579.87","4,556.15","12,136.01","3,813.42","2,172.31","5,985.74"
2015,Iowa,"7,877.69","4,972.16","12,849.85","3,941.48","2,300.37","6,241.85"
2016,Iowa,"8,031.30","5,265.35","13,296.65","4,072.49","2,375.26","6,447.75"
2017,Iowa,"8,362.68","5,607.31","13,969.99","4,255.71","2,487.94","6,743.66"
2018,Iowa,"8,447.65","5,798.63","14,246.28","4,297.70","2,512.76","6,810.46"
2019,Iowa,"8,632.19","5,988.17","14,620.36","4,370.05","2,527.37","6,897.42"
2020,Iowa,"8,988.80","5,443.65","14,432.45","4,422.91","2,240.48","6,663.39"
2021,Iowa,"9,854.85","6,745.70","16,600.54","4,688.26","2,641.98","7,330.24"
2022,Iowa,"9,915.47","7,483.99","17,399.46","4,179.73","2,695.71","6,875.44"
2023,Iowa,"9,991.79","7,948.12","17,939.91","4,003.08","2,680.31","6,683.38"
1997,Kansas,"3,433.09","2,282.45","5,715.54","2,567.57","1,740.63","4,308.20"
1998,Kansas,"3,472.16","2,432.33","5,904.49","2,550.39","1,808.14","4,358.53"
1999,Kansas,"3,600.79","2,461.62","6,062.42","2,590.32","1,784.90","4,375.22"
2000,Kansas,"3,692.57","2,599.53","6,292.10","2,596.30","1,833.05","4,429.35"
2001,Kansas,"3,828.24","2,687.59","6,515.83","2,610.37","1,842.25","4,452.62"
2002,Kansas,"3,746.92","2,768.43","6,515.34","2,535.39","1,857.70","4,393.09"
2003,Kansas,"4,068.21","2,876.98","6,945.20","2,714.50","1,892.84","4,607.34"
2004,Kansas,"4,340.98","3,017.35","7,358.33","2,814.91","1,928.16","4,743.07"
2005,Kansas,"4,549.08","3,133.51","7,682.60","2,888.03","1,936.27","4,824.30"
2006,Kansas,"4,848.84","3,285.27","8,134.11","3,029.87","1,976.19","5,006.06"
2007,Kansas,"5,128.92","3,393.33","8,522.25","3,082.43","1,973.25","5,055.68"
2008,Kansas,"5,454.70","3,536.37","8,991.07","3,081.00","1,963.36","5,044.36"
2009,Kansas,"5,310.40","3,541.07","8,851.47","2,971.30","1,895.23","4,866.53"
2010,Kansas,"5,299.52","3,641.29","8,940.80","2,952.04","1,927.67","4,879.71"
2011,Kansas,"5,488.37","3,835.40","9,323.77","2,919.95","1,980.54","4,900.49"
2012,Kansas,"5,813.75","4,044.12","9,857.87","3,014.10","2,029.29","5,043.39"
2013,Kansas,"6,091.96","4,203.01","10,294.96","3,140.96","2,059.32","5,200.28"
2014,Kansas,"6,425.48","4,450.92","10,876.41","3,232.65","2,122.14","5,354.80"
2015,Kansas,"6,594.91","4,824.48","11,419.38","3,299.66","2,232.05","5,531.71"
2016,Kansas,"6,712.58","5,064.12","11,776.70","3,403.80","2,284.48","5,688.28"
2017,Kansas,"7,011.26","5,339.79","12,351.06","3,567.99","2,369.25","5,937.24"
2018,Kansas,"7,079.16","5,538.00","12,617.15","3,601.49","2,399.81","6,001.30"
2019,Kansas,"7,164.93","5,756.71","12,921.64","3,627.24","2,429.68","6,056.92"
2020,Kansas,"7,600.35","5,410.78","13,011.13","3,739.73","2,226.95","5,966.68"
2021,Kansas,"8,076.32","6,650.07","14,726.38","3,842.16","2,604.52","6,446.69"
2022,Kansas,"8,696.71","7,429.07","16,125.78","3,665.98","2,675.93","6,341.90"
2023,Kansas,"8,671.48","7,868.71","16,540.19","3,474.11","2,653.53","6,127.64"
1997,Kentucky,"4,992.09","3,468.74","8,460.82","3,712.72","2,663.57","6,376.29"
1998,Kentucky,"5,137.21","3,615.82","8,753.03","3,764.90","2,705.23","6,470.13"
1999,Kentucky,"5,467.25","3,753.96","9,221.21","3,944.21","2,741.56","6,685.76"
2000,Kentucky,"5,658.61","3,877.43","9,536.04","3,975.48","2,768.95","6,744.43"
2001,Kentucky,"5,858.93","4,021.85","9,880.78","4,001.81","2,797.02","6,798.83"
2002,Kentucky,"5,960.15","4,131.38","10,091.53","4,018.67","2,809.34","6,828.00"
2003,Kentucky,"6,302.61","4,372.59","10,675.21","4,159.73","2,903.99","7,063.71"
2004,Kentucky,"6,801.89","4,712.72","11,514.61","4,318.96","3,035.98","7,354.94"
2005,Kentucky,"7,353.91","4,971.89","12,325.80","4,576.38","3,112.84","7,689.22"
2006,Kentucky,"7,732.79","5,273.27","13,006.06","4,720.60","3,203.22","7,923.82"
2007,Kentucky,"8,325.21","5,527.01","13,852.22","4,877.68","3,246.46","8,124.14"
2008,Kentucky,"8,720.09","5,672.34","14,392.44","4,787.16","3,185.20","7,972.36"
2009,Kentucky,"8,477.65","5,618.31","14,095.95","4,618.89","3,044.34","7,663.24"
2010,Kentucky,"8,699.05","5,782.69","14,481.74","4,711.78","3,093.98","7,805.77"
2011,Kentucky,"8,981.35","6,089.75","15,071.10","4,627.80","3,187.38","7,815.19"
2012,Kentucky,"9,531.31","6,397.30","15,928.61","4,781.99","3,258.69","8,040.67"
2013,Kentucky,"9,587.21","6,740.87","16,328.08","4,753.54","3,356.64","8,110.18"
2014,Kentucky,"10,005.17","7,183.00","17,188.17","4,842.75","3,494.50","8,337.26"
2015,Kentucky,"10,110.73","7,815.20","17,925.93","4,843.85","3,689.47","8,533.32"
2016,Kentucky,"10,148.08","8,312.53","18,460.61","4,931.81","3,847.36","8,779.17"
2017,Kentucky,"10,856.32","8,835.06","19,691.38","5,287.75","4,008.49","9,296.24"
2018,Kentucky,"11,189.54","9,156.98","20,346.52","5,433.80","4,068.69","9,502.49"
2019,Kentucky,"11,163.71","9,603.99","20,767.70","5,384.20","4,140.03","9,524.23"
2020,Kentucky,"11,870.11","8,755.76","20,625.87","5,530.29","3,674.06","9,204.35"
2021,Kentucky,"12,524.60","10,702.02","23,226.62","5,641.45","4,323.55","9,965.00"
2022,Kentucky,"12,755.25","11,845.01","24,600.27","5,158.38","4,440.26","9,598.64"
2023,Kentucky,"12,823.98","12,795.42","25,619.40","4,923.09","4,477.99","9,401.08"
1997,Louisiana,"5,358.43","3,740.49","9,098.92","3,985.18","2,872.25","6,857.43"
1998,Louisiana,"5,499.27","3,936.63","9,435.90","4,030.24","2,945.25","6,975.49"
1999,Louisiana,"5,784.22","4,136.66","9,920.88","4,172.88","3,021.04","7,193.92"
2000,Louisiana,"5,921.35","4,508.66","10,430.01","4,160.07","3,219.72","7,379.79"
2001,Louisiana,"5,968.65","4,588.20","10,556.85","4,076.75","3,190.89","7,267.64"
2002,Louisiana,"5,907.51","4,680.87","10,588.37","3,983.17","3,182.99","7,166.16"
2003,Louisiana,"6,140.71","5,031.54","11,172.25","4,052.87","3,341.62","7,394.49"
2004,Louisiana,"6,562.25","5,453.17","12,015.42","4,166.79","3,512.99","7,679.78"
2005,Louisiana,"6,922.25","5,577.07","12,499.32","4,307.76","3,491.73","7,799.49"
2006,Louisiana,"7,063.41","5,588.32","12,651.73","4,311.96","3,394.59","7,706.56"
2007,Louisiana,"7,572.73","5,994.41","13,567.14","4,436.81","3,521.00","7,957.81"
2008,Louisiana,"8,120.68","6,208.32","14,329.01","4,458.10","3,486.17","7,944.27"
2009,Louisiana,"8,185.10","6,254.76","14,439.86","4,459.50","3,389.21","7,848.72"
2010,Louisiana,"8,481.26","6,438.81","14,920.07","4,593.82","3,445.03","8,038.85"
2011,Louisiana,"9,047.79","6,923.31","15,971.11","4,662.04","3,623.67","8,285.71"
2012,Louisiana,"9,837.27","7,303.76","17,141.03","4,935.49","3,720.42","8,655.91"
2013,Louisiana,"9,845.01","7,720.45","17,565.46","4,881.36","3,844.43","8,725.79"
2014,Louisiana,"10,174.78","8,370.43","18,545.20","4,924.85","4,072.18","8,997.03"
2015,Louisiana,"10,314.86","9,131.38","19,446.24","4,941.64","4,310.83","9,252.47"
2016,Louisiana,"10,332.04","9,651.54","19,983.58","5,021.21","4,467.11","9,488.32"
2017,Louisiana,"11,000.18","10,190.99","21,191.17","5,357.82","4,623.68","9,981.50"
2018,Louisiana,"11,249.29","10,679.94","21,929.23","5,462.82","4,745.38","10,208.20"
2019,Louisiana,"11,471.43","11,152.63","22,624.07","5,532.61","4,807.61","10,340.22"
2020,Louisiana,"12,088.99","9,878.66","21,967.66","5,632.27","4,145.25","9,777.52"
2021,Louisiana,"12,936.15","12,052.03","24,988.18","5,826.82","4,868.94","10,695.77"
2022,Louisiana,"13,167.82","13,111.81","26,279.63","5,325.22","4,915.14","10,240.36"
2023,Louisiana,"13,438.15","13,986.85","27,425.00","5,158.86","4,894.95","10,053.82"
1997,Maine,"2,050.11","1,213.58","3,263.70","1,513.42",961.13,"2,474.56"
1998,Maine,"2,136.59","1,271.66","3,408.25","1,554.12",982.50,"2,536.62"
1999,Maine,"2,254.06","1,322.10","3,576.16","1,605.22",992.95,"2,598.17"
2000,Maine,"2,392.20","1,435.70","3,827.91","1,676.51","1,055.69","2,732.20"
2001,Maine,"2,546.17","1,486.06","4,032.22","1,729.42","1,061.23","2,790.65"
2002,Maine,"2,635.31","1,542.60","4,177.92","1,770.76","1,074.89","2,845.65"
2003,Maine,"2,765.01","1,630.66","4,395.67","1,816.87","1,112.94","2,929.81"
2004,Maine,"2,939.25","1,717.85","4,657.10","1,849.66","1,141.62","2,991.28"
2005,Maine,"3,042.01","1,764.07","4,806.08","1,865.01","1,139.97","3,004.99"
2006,Maine,"3,134.41","1,850.43","4,984.84","1,879.07","1,153.89","3,032.96"
2007,Maine,"3,325.53","1,905.94","5,231.48","1,918.74","1,140.39","3,059.13"
2008,Maine,"3,469.91","1,937.25","5,407.17","1,885.23","1,109.30","2,994.53"
2009,Maine,"3,334.87","1,930.05","5,264.93","1,794.14","1,068.78","2,862.92"
2010,Maine,"3,269.21","1,993.52","5,262.73","1,742.34","1,086.98","2,829.31"
2011,Maine,"3,354.33","2,079.01","5,433.33","1,713.96","1,106.43","2,820.39"
2012,Maine,"3,450.50","2,158.38","5,608.87","1,716.06","1,118.66","2,834.72"
2013,Maine,"3,615.08","2,331.41","5,946.49","1,783.04","1,188.32","2,971.36"
2014,Maine,"3,772.41","2,524.49","6,296.90","1,829.40","1,259.00","3,088.41"
2015,Maine,"3,828.64","2,756.40","6,585.04","1,831.40","1,343.42","3,174.82"
2016,Maine,"3,969.51","2,981.62","6,951.13","1,924.52","1,415.50","3,340.02"
2017,Maine,"4,113.09","3,269.13","7,382.21","1,991.05","1,516.31","3,507.36"
2018,Maine,"4,366.24","3,447.84","7,814.08","2,087.85","1,556.22","3,644.07"
2019,Maine,"4,545.81","3,606.97","8,152.78","2,156.45","1,582.66","3,739.11"
2020,Maine,"4,822.12","3,069.23","7,891.35","2,211.74","1,299.71","3,511.45"
2021,Maine,"5,283.54","3,974.16","9,257.70","2,367.77","1,606.40","3,974.18"
2022,Maine,"5,486.05","4,498.54","9,984.60","2,232.55","1,701.21","3,933.76"
2023,Maine,"5,461.52","4,785.44","10,246.96","2,121.14","1,693.42","3,814.56"
1997,Maryland,"7,652.77","4,762.89","12,415.66","5,691.53","3,657.33","9,348.86"
1998,Maryland,"7,675.76","5,031.34","12,707.10","5,625.32","3,764.28","9,389.60"
1999,Maryland,"8,125.29","5,236.33","13,361.61","5,861.78","3,824.14","9,685.92"
2000,Maryland,"8,655.37","5,663.07","14,318.44","6,080.87","4,044.10","10,124.97"
2001,Maryland,"9,069.19","5,871.43","14,940.62","6,194.51","4,083.31","10,277.82"
2002,Maryland,"9,199.72","6,276.49","15,476.21","6,202.96","4,268.01","10,470.98"
2003,Maryland,"9,791.90","6,780.68","16,572.58","6,462.65","4,503.28","10,965.94"
2004,Maryland,"10,180.87","7,350.37","17,531.23","6,464.49","4,735.18","11,199.67"
2005,Maryland,"10,238.34","7,882.20","18,120.54","6,371.38","4,934.94","11,306.32"
2006,Maryland,"11,048.51","8,384.12","19,432.63","6,744.73","5,092.88","11,837.62"
2007,Maryland,"11,691.18","8,927.10","20,618.28","6,849.78","5,243.60","12,093.38"
2008,Maryland,"11,911.64","9,092.13","21,003.77","6,539.26","5,105.53","11,644.78"
2009,Maryland,"11,596.34","8,929.81","20,526.15","6,318.06","4,838.72","11,156.78"
2010,Maryland,"11,731.66","9,059.36","20,791.02","6,354.37","4,847.14","11,201.51"
2011,Maryland,"11,957.34","9,501.66","21,459.00","6,161.24","4,973.18","11,134.42"
2012,Maryland,"12,348.41","10,095.98","22,444.39","6,195.37","5,142.74","11,338.10"
2013,Maryland,"12,908.83","10,691.00","23,599.83","6,400.47","5,323.63","11,724.09"
2014,Maryland,"13,210.23","11,468.52","24,678.76","6,394.08","5,579.39","11,973.48"
2015,Maryland,"13,074.00","12,490.78","25,564.78","6,263.49","5,896.76","12,160.26"
2016,Maryland,"13,166.70","13,250.54","26,417.24","6,398.81","6,132.86","12,531.67"
2017,Maryland,"13,170.13","14,161.19","27,331.32","6,414.73","6,424.98","12,839.71"
2018,Maryland,"13,565.59","14,689.97","28,255.56","6,587.65","6,527.15","13,114.79"
2019,Maryland,"13,779.75","15,289.51","29,069.26","6,645.90","6,590.91","13,236.81"
2020,Maryland,"14,720.08","12,909.48","27,629.56","6,858.09","5,417.03","12,275.12"
2021,Maryland,"16,121.67","16,013.30","32,134.96","7,261.67","6,469.27","13,730.94"
2022,Maryland,"18,636.25","18,277.33","36,913.57","7,536.72","6,851.50","14,388.22"
2023,Maryland,"19,270.43","19,648.46","38,918.88","7,397.86","6,876.34","14,274.20"
1997,Massachusetts,"9,207.57","6,754.33","15,961.91","6,797.15","5,349.30","12,146.45"
1998,Massachusetts,"9,425.84","7,129.88","16,555.71","6,856.20","5,508.66","12,364.86"
1999,Massachusetts,"9,995.34","7,511.73","17,507.07","7,118.17","5,641.61","12,759.78"
2000,Massachusetts,"10,188.90","8,091.13","18,280.03","7,140.63","5,949.50","13,090.13"
2001,Massachusetts,"10,482.24","8,435.70","18,917.94","7,119.79","6,024.14","13,143.93"
2002,Massachusetts,"10,806.43","8,886.74","19,693.17","7,261.24","6,192.31","13,453.54"
2003,Massachusetts,"10,940.64","9,302.02","20,242.66","7,189.05","6,348.68","13,537.72"
2004,Massachusetts,"11,240.81","9,819.29","21,060.10","7,073.80","6,525.54","13,599.34"
2005,Massachusetts,"11,574.69","10,230.65","21,805.35","7,096.28","6,611.22","13,707.50"
2006,Massachusetts,"11,866.24","10,786.18","22,652.42","7,113.77","6,726.06","13,839.83"
2007,Massachusetts,"12,263.36","11,333.48","23,596.84","7,075.62","6,781.22","13,856.84"
2008,Massachusetts,"12,799.25","11,612.41","24,411.66","6,953.92","6,649.46","13,603.38"
2009,Massachusetts,"12,702.48","11,515.99","24,218.46","6,833.86","6,377.03","13,210.89"
2010,Massachusetts,"13,125.18","12,003.11","25,128.29","6,995.11","6,544.76","13,539.87"
2011,Massachusetts,"13,910.03","12,772.88","26,682.91","7,107.62","6,797.63","13,905.25"
2012,Massachusetts,"14,394.10","13,512.73","27,906.83","7,158.73","7,003.48","14,162.21"
2013,Massachusetts,"14,893.14","14,313.41","29,206.55","7,345.61","7,295.55","14,641.16"
2014,Massachusetts,"15,412.38","15,440.62","30,853.00","7,474.11","7,700.48","15,174.59"
2015,Massachusetts,"15,938.22","16,816.44","32,754.65","7,623.92","8,196.02","15,819.94"
2016,Massachusetts,"16,152.87","18,027.20","34,180.06","7,831.33","8,558.29","16,389.62"
2017,Massachusetts,"16,619.62","19,430.92","36,050.54","8,045.17","9,012.60","17,057.76"
2018,Massachusetts,"17,285.30","20,374.96","37,660.27","8,265.49","9,196.46","17,461.96"
2019,Massachusetts,"17,826.75","21,165.41","38,992.16","8,456.68","9,286.94","17,743.62"
2020,Massachusetts,"18,455.44","16,752.83","35,208.27","8,464.85","7,094.23","15,559.09"
2021,Massachusetts,"19,104.52","21,515.84","40,620.36","8,561.53","8,696.97","17,258.50"
2022,Massachusetts,"21,876.36","26,008.07","47,884.44","8,902.59","9,835.45","18,738.04"
2023,Massachusetts,"22,230.43","29,084.12","51,314.55","8,633.85","10,291.95","18,925.80"
1997,Michigan,"12,121.58","8,334.02","20,455.60","9,065.59","6,355.64","15,421.22"
1998,Michigan,"12,301.40","8,612.24","20,913.64","9,035.68","6,402.16","15,437.84"
1999,Michigan,"12,928.80","8,856.57","21,785.37","9,300.65","6,421.83","15,722.48"
2000,Michigan,"13,812.20","9,676.61","23,488.81","9,711.57","6,823.40","16,534.97"
2001,Michigan,"14,226.30","9,831.83","24,058.13","9,700.51","6,739.38","16,439.89"
