Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
2005,Hawaii,"1,850.47","2,500.34","4,350.81","1,080.76","1,569.10","2,649.85"
2006,Hawaii,"1,872.39","2,608.77","4,481.16","1,080.55","1,590.49","2,671.03"
2007,Hawaii,"1,941.31","2,719.83","4,661.14","1,069.94","1,600.82","2,670.76"
2008,Hawaii,"2,030.22","2,724.27","4,754.49","1,053.93","1,544.67","2,598.60"
2009,Hawaii,"2,018.67","2,636.36","4,655.03","1,055.61","1,449.66","2,505.27"
2010,Hawaii,"2,041.00","2,695.73","4,736.73","1,073.74","1,465.12","2,538.85"
2011,Hawaii,"2,104.26","2,866.72","4,970.98","1,055.44","1,523.84","2,579.28"
2012,Hawaii,"2,147.41","3,009.30","5,156.71","1,057.99","1,552.15","2,610.14"
2013,Hawaii,"2,176.49","3,136.23","5,312.72","1,062.80","1,584.25","2,647.05"
2014,Hawaii,"2,249.84","3,304.48","5,554.32","1,068.79","1,628.99","2,697.77"
2015,Hawaii,"2,325.13","3,519.67","5,844.80","1,086.34","1,686.59","2,772.93"
2016,Hawaii,"2,390.87","3,715.58","6,106.45","1,130.03","1,723.88","2,853.92"
2017,Hawaii,"2,478.11","4,004.37","6,482.48","1,174.90","1,798.91","2,973.81"
2018,Hawaii,"2,646.52","4,213.55","6,860.07","1,249.28","1,830.52","3,079.80"
2019,Hawaii,"2,779.84","4,484.31","7,264.15","1,292.52","1,881.25","3,173.77"
2020,Hawaii,"2,830.52","3,178.48","6,009.01","1,265.62","1,275.03","2,540.65"
2021,Hawaii,"3,093.68","4,416.01","7,509.70","1,325.47","1,689.10","3,014.58"
2022,Hawaii,"3,635.51","5,313.23","8,948.74","1,398.17","1,894.28","3,292.45"
2023,Hawaii,"3,674.01","6,022.45","9,696.45","1,350.47","1,998.25","3,348.72"
1997,Idaho,"1,533.40",791.47,"2,324.87","1,096.36",617.71,"1,714.07"
1998,Idaho,"1,533.50",829.16,"2,362.67","1,063.76",630.29,"1,694.05"
1999,Idaho,"1,594.53",845.17,"2,439.69","1,084.13",628.89,"1,713.02"
2000,Idaho,"1,598.47",891.05,"2,489.52","1,065.04",648.53,"1,713.57"
2001,Idaho,"1,592.00",911.58,"2,503.58","1,018.18",643.15,"1,661.33"
2002,Idaho,"1,569.08",922.85,"2,491.93",985.12,630.31,"1,615.43"
2003,Idaho,"1,660.89",958.44,"2,619.32","1,015.37",642.17,"1,657.55"
2004,Idaho,"1,766.32","1,002.36","2,768.68","1,041.01",651.56,"1,692.57"
2005,Idaho,"1,901.74","1,047.11","2,948.85","1,110.70",657.12,"1,767.82"
2006,Idaho,"2,022.53","1,097.36","3,119.89","1,167.19",669.03,"1,836.22"
2007,Idaho,"2,134.98","1,153.73","3,288.71","1,176.68",679.05,"1,855.73"
2008,Idaho,"2,225.07","1,169.85","3,394.93","1,155.08",663.31,"1,818.39"
2009,Idaho,"2,080.48","1,088.80","3,169.28","1,087.93",598.70,"1,686.63"
2010,Idaho,"2,058.12","1,088.18","3,146.29","1,082.74",591.42,"1,674.16"
2011,Idaho,"2,112.20","1,152.60","3,264.80","1,059.42",612.68,"1,672.10"
2012,Idaho,"2,307.98","1,207.02","3,515.00","1,137.11",622.56,"1,759.67"
2013,Idaho,"2,348.09","1,293.51","3,641.60","1,146.60",653.41,"1,800.01"
2014,Idaho,"2,426.14","1,407.20","3,833.34","1,152.54",693.70,"1,846.23"
2015,Idaho,"2,458.27","1,553.83","4,012.10","1,148.55",744.58,"1,893.12"
2016,Idaho,"2,461.63","1,681.36","4,143.00","1,163.48",780.09,"1,943.57"
2017,Idaho,"2,570.58","1,809.50","4,380.08","1,218.74",812.89,"2,031.63"
2018,Idaho,"2,639.80","1,927.13","4,566.93","1,246.11",837.21,"2,083.33"
2019,Idaho,"2,788.70","2,057.35","4,846.05","1,296.64",863.10,"2,159.74"
2020,Idaho,"2,989.37","1,990.14","4,979.51","1,336.64",798.33,"2,134.97"
2021,Idaho,"3,195.31","2,459.23","5,654.55","1,369.02",940.64,"2,309.66"
2022,Idaho,"3,494.62","2,683.05","6,177.66","1,343.98",956.57,"2,300.55"
2023,Idaho,"3,618.41","2,852.25","6,470.67","1,330.04",946.38,"2,276.42"
1997,Illinois,"1,410.23",936.95,"2,347.18","1,054.70",714.53,"1,769.23"
1998,Illinois,"1,448.34",981.19,"2,429.53","1,063.84",729.39,"1,793.23"
1999,Illinois,"1,540.82","1,009.25","2,550.07","1,108.43",731.80,"1,840.23"
2000,Illinois,"1,589.36","1,053.40","2,642.76","1,117.50",742.80,"1,860.30"
2001,Illinois,"1,655.52","1,081.05","2,736.57","1,128.85",741.02,"1,869.88"
2002,Illinois,"1,698.93","1,113.32","2,812.25","1,149.60",747.07,"1,896.67"
2003,Illinois,"1,721.79","1,179.64","2,901.43","1,148.86",776.11,"1,924.97"
2004,Illinois,"1,742.40","1,257.37","2,999.76","1,129.86",803.49,"1,933.35"
2005,Illinois,"1,790.14","1,320.47","3,110.61","1,136.48",815.95,"1,952.44"
2006,Illinois,"1,834.42","1,406.55","3,240.97","1,146.27",846.08,"1,992.35"
2007,Illinois,"1,906.88","1,474.01","3,380.89","1,146.02",857.15,"2,003.17"
2008,Illinois,"1,956.74","1,499.12","3,455.87","1,105.23",832.30,"1,937.53"
2009,Illinois,"1,890.50","1,471.02","3,361.52","1,057.78",787.31,"1,845.09"
2010,Illinois,"1,886.24","1,487.48","3,373.72","1,050.71",787.46,"1,838.17"
2011,Illinois,"1,939.40","1,561.84","3,501.24","1,031.81",806.51,"1,838.32"
2012,Illinois,"2,056.42","1,633.66","3,690.08","1,066.14",819.75,"1,885.89"
2013,Illinois,"2,016.71","1,699.36","3,716.07","1,039.80",832.63,"1,872.42"
2014,Illinois,"2,032.61","1,813.06","3,845.67","1,022.60",864.45,"1,887.05"
2015,Illinois,"1,987.27","1,982.49","3,969.76",994.30,917.20,"1,911.50"
2016,Illinois,"1,948.56","2,114.34","4,062.90",988.07,953.80,"1,941.87"
2017,Illinois,"1,908.24","2,253.82","4,162.07",971.09,"1,000.01","1,971.11"
2018,Illinois,"1,949.77","2,352.60","4,302.37",991.94,"1,019.47","2,011.40"
2019,Illinois,"1,986.84","2,455.52","4,442.36","1,005.84","1,036.38","2,042.22"
2020,Illinois,"2,079.69","2,031.24","4,110.93","1,023.31",836.01,"1,859.32"
2021,Illinois,"2,237.10","2,539.26","4,776.36","1,064.26",994.51,"2,058.77"
2022,Illinois,"2,432.02","2,973.96","5,405.99","1,025.19","1,071.21","2,096.40"
2023,Illinois,"2,431.77","3,281.63","5,713.40",974.26,"1,106.65","2,080.91"
1997,Indiana,"1,387.00",951.54,"2,338.54","1,037.32",725.66,"1,762.98"
1998,Indiana,"1,401.98",979.21,"2,381.19","1,029.79",727.93,"1,757.71"
1999,Indiana,"1,419.70","1,014.48","2,434.18","1,021.30",735.59,"1,756.89"
2000,Indiana,"1,438.00","1,050.21","2,488.21","1,011.08",740.55,"1,751.63"
2001,Indiana,"1,449.20","1,087.85","2,537.05",988.17,745.68,"1,733.85"
2002,Indiana,"1,441.88","1,115.73","2,557.61",975.66,748.69,"1,724.35"
2003,Indiana,"1,483.32","1,153.47","2,636.79",989.74,758.90,"1,748.64"
2004,Indiana,"1,552.96","1,208.12","2,761.08","1,007.02",772.02,"1,779.04"
2005,Indiana,"1,634.94","1,251.18","2,886.12","1,037.96",773.13,"1,811.09"
2006,Indiana,"1,698.36","1,304.72","3,003.07","1,061.24",784.83,"1,846.07"
2007,Indiana,"1,741.68","1,333.61","3,075.30","1,046.74",775.50,"1,822.24"
2008,Indiana,"1,781.60","1,362.55","3,144.16","1,006.31",756.48,"1,762.79"
2009,Indiana,"1,735.35","1,333.52","3,068.87",970.97,713.72,"1,684.69"
2010,Indiana,"1,752.61","1,354.92","3,107.53",976.27,717.28,"1,693.56"
2011,Indiana,"1,821.71","1,428.57","3,250.28",969.20,737.69,"1,706.89"
2012,Indiana,"1,964.98","1,503.97","3,468.95","1,018.73",754.67,"1,773.40"
2013,Indiana,"2,007.55","1,561.52","3,569.07","1,035.07",765.09,"1,800.16"
2014,Indiana,"2,060.53","1,647.87","3,708.40","1,036.65",785.68,"1,822.33"
2015,Indiana,"2,088.06","1,780.41","3,868.47","1,044.73",823.71,"1,868.44"
2016,Indiana,"2,128.09","1,872.21","4,000.30","1,079.11",844.57,"1,923.68"
2017,Indiana,"2,224.91","1,955.79","4,180.69","1,132.24",867.78,"2,000.02"
2018,Indiana,"2,253.13","2,018.77","4,271.90","1,146.27",874.81,"2,021.07"
2019,Indiana,"2,283.93","2,095.69","4,379.61","1,156.24",884.51,"2,040.74"
2020,Indiana,"2,364.20","1,916.96","4,281.17","1,163.30",788.98,"1,952.28"
2021,Indiana,"2,497.94","2,328.12","4,826.05","1,188.35",911.82,"2,100.16"
2022,Indiana,"2,644.77","2,561.18","5,205.95","1,114.87",922.53,"2,037.40"
2023,Indiana,"2,699.73","2,754.31","5,454.03","1,081.61",928.82,"2,010.43"
1997,Iowa,"1,469.73",779.95,"2,249.68","1,099.19",594.80,"1,693.99"
1998,Iowa,"1,510.74",814.79,"2,325.53","1,109.67",605.70,"1,715.37"
1999,Iowa,"1,570.32",840.81,"2,411.13","1,129.65",609.67,"1,739.32"
2000,Iowa,"1,564.01",860.46,"2,424.47","1,099.68",606.75,"1,706.43"
2001,Iowa,"1,636.00",871.94,"2,507.94","1,115.54",597.68,"1,713.22"
2002,Iowa,"1,641.98",903.12,"2,545.10","1,111.06",606.02,"1,717.09"
2003,Iowa,"1,690.67",939.40,"2,630.07","1,128.09",618.05,"1,746.15"
2004,Iowa,"1,758.00",995.93,"2,753.93","1,139.98",636.43,"1,776.40"
2005,Iowa,"1,903.34","1,048.18","2,951.52","1,208.35",647.70,"1,856.05"
2006,Iowa,"2,005.07","1,102.78","3,107.84","1,252.89",663.35,"1,916.25"
2007,Iowa,"2,080.24","1,141.40","3,221.64","1,250.21",663.73,"1,913.94"
2008,Iowa,"2,164.52","1,158.14","3,322.66","1,222.60",642.99,"1,865.58"
2009,Iowa,"2,139.04","1,149.32","3,288.36","1,196.85",615.13,"1,811.98"
2010,Iowa,"2,144.16","1,166.94","3,311.09","1,194.38",617.77,"1,812.15"
2011,Iowa,"2,234.28","1,230.32","3,464.60","1,188.69",635.32,"1,824.01"
2012,Iowa,"2,353.41","1,290.93","3,644.34","1,220.11",647.77,"1,867.88"
2013,Iowa,"2,379.27","1,372.06","3,751.33","1,226.73",672.26,"1,898.99"
2014,Iowa,"2,436.75","1,464.70","3,901.45","1,225.93",698.35,"1,924.28"
2015,Iowa,"2,522.85","1,592.34","4,115.19","1,262.27",736.70,"1,998.97"
2016,Iowa,"2,563.28","1,680.50","4,243.78","1,299.78",758.09,"2,057.87"
2017,Iowa,"2,660.11","1,783.65","4,443.76","1,353.71",791.40,"2,145.11"
2018,Iowa,"2,681.88","1,840.89","4,522.77","1,364.39",797.73,"2,162.12"
2019,Iowa,"2,732.05","1,895.23","4,627.29","1,383.10",799.90,"2,183.01"
2020,Iowa,"2,817.01","1,705.99","4,523.00","1,386.10",702.15,"2,088.24"
2021,Iowa,"3,081.62","2,109.39","5,191.00","1,466.02",826.15,"2,292.17"
2022,Iowa,"3,098.88","2,338.97","5,437.85","1,306.29",842.49,"2,148.78"
2023,Iowa,"3,115.62","2,478.36","5,593.98","1,248.23",835.77,"2,084.00"
1997,Kansas,"1,312.17",872.38,"2,184.56",981.36,665.29,"1,646.65"
1998,Kansas,"1,315.88",921.80,"2,237.68",966.54,685.25,"1,651.79"
1999,Kansas,"1,356.72",927.50,"2,284.21",975.99,672.52,"1,648.51"
2000,Kansas,"1,370.83",965.05,"2,335.88",963.85,680.50,"1,644.35"
2001,Kansas,"1,416.73",994.61,"2,411.34",966.03,681.77,"1,647.80"
2002,Kansas,"1,380.83","1,020.23","2,401.05",934.35,684.60,"1,618.95"
2003,Kansas,"1,494.02","1,056.55","2,550.56",996.88,695.13,"1,692.01"
2004,Kansas,"1,587.56","1,103.49","2,691.05","1,029.45",705.16,"1,734.61"
2005,Kansas,"1,657.05","1,141.41","2,798.46","1,051.99",705.31,"1,757.30"
2006,Kansas,"1,754.96","1,189.05","2,944.02","1,096.61",715.25,"1,811.87"
2007,Kansas,"1,842.43","1,218.96","3,061.39","1,107.28",708.84,"1,816.12"
2008,Kansas,"1,942.51","1,259.36","3,201.86","1,097.19",699.18,"1,796.38"
2009,Kansas,"1,874.67","1,250.07","3,124.74","1,048.93",669.05,"1,717.98"
2010,Kansas,"1,854.10","1,273.95","3,128.05","1,032.81",674.42,"1,707.23"
2011,Kansas,"1,912.54","1,336.53","3,249.07","1,017.52",690.16,"1,707.68"
2012,Kansas,"2,014.45","1,401.28","3,415.73","1,044.38",703.14,"1,747.52"
2013,Kansas,"2,104.81","1,452.16","3,556.97","1,085.22",711.51,"1,796.73"
2014,Kansas,"2,214.26","1,533.82","3,748.08","1,113.99",731.30,"1,845.30"
2015,Kansas,"2,265.73","1,657.49","3,923.22","1,133.62",766.84,"1,900.46"
2016,Kansas,"2,304.37","1,738.47","4,042.84","1,168.49",784.24,"1,952.74"
2017,Kansas,"2,408.63","1,834.42","4,243.05","1,225.74",813.93,"2,039.66"
2018,Kansas,"2,430.41","1,901.30","4,331.70","1,236.46",823.90,"2,060.36"
2019,Kansas,"2,459.95","1,976.46","4,436.41","1,245.35",834.19,"2,079.53"
2020,Kansas,"2,586.80","1,841.58","4,428.38","1,272.83",757.95,"2,030.78"
2021,Kansas,"2,748.97","2,263.51","5,012.48","1,307.77",886.51,"2,194.28"
2022,Kansas,"2,961.37","2,529.72","5,491.09","1,248.32",911.20,"2,159.52"
2023,Kansas,"2,948.94","2,675.94","5,624.87","1,181.45",902.39,"2,083.84"
1997,Kentucky,"1,277.46",887.64,"2,165.10",950.08,681.60,"1,631.68"
1998,Kentucky,"1,305.75",919.05,"2,224.79",956.94,687.60,"1,644.54"
1999,Kentucky,"1,380.33",947.77,"2,328.10",995.80,692.17,"1,687.97"
2000,Kentucky,"1,397.53",957.62,"2,355.15",981.84,683.86,"1,665.69"
2001,Kentucky,"1,440.20",988.62,"2,428.83",983.70,687.54,"1,671.24"
2002,Kentucky,"1,457.29","1,010.15","2,467.44",982.59,686.90,"1,669.49"
2003,Kentucky,"1,530.81","1,062.04","2,592.85","1,010.34",705.34,"1,715.67"
2004,Kentucky,"1,640.55","1,136.66","2,777.21","1,041.69",732.25,"1,773.94"
2005,Kentucky,"1,758.16","1,188.67","2,946.82","1,094.11",744.21,"1,838.32"
2006,Kentucky,"1,832.75","1,249.82","3,082.56","1,118.83",759.19,"1,878.02"
2007,Kentucky,"1,955.80","1,298.43","3,254.24","1,145.89",762.67,"1,908.57"
2008,Kentucky,"2,032.71","1,322.26","3,354.98","1,115.92",742.49,"1,858.41"
2009,Kentucky,"1,963.75","1,301.42","3,265.16","1,069.91",705.19,"1,775.10"
2010,Kentucky,"2,000.49","1,329.82","3,330.31","1,083.55",711.51,"1,795.06"
2011,Kentucky,"2,054.84","1,393.28","3,448.12","1,058.80",729.24,"1,788.04"
2012,Kentucky,"2,172.20","1,457.95","3,630.15","1,089.82",742.66,"1,832.48"
2013,Kentucky,"2,175.50","1,529.62","3,705.11","1,078.66",761.68,"1,840.33"
2014,Kentucky,"2,265.15","1,626.22","3,891.37","1,096.39",791.15,"1,887.54"
2015,Kentucky,"2,282.78","1,764.50","4,047.28","1,093.64",833.00,"1,926.64"
2016,Kentucky,"2,285.45","1,872.06","4,157.51","1,110.69",866.46,"1,977.15"
2017,Kentucky,"2,436.56","1,982.91","4,419.48","1,186.77",899.65,"2,086.42"
2018,Kentucky,"2,506.46","2,051.17","4,557.63","1,217.17",911.39,"2,128.56"
2019,Kentucky,"2,496.17","2,147.42","4,643.58","1,203.89",925.70,"2,129.58"
2020,Kentucky,"2,633.03","1,942.20","4,575.23","1,226.73",814.98,"2,041.71"
2021,Kentucky,"2,778.55","2,374.22","5,152.77","1,251.54",959.17,"2,210.71"
2022,Kentucky,"2,827.24","2,625.48","5,452.71","1,143.37",984.20,"2,127.56"
2023,Kentucky,"2,833.31","2,827.00","5,660.30","1,087.70",989.36,"2,077.06"
1997,Louisiana,"1,231.43",859.61,"2,091.04",915.84,660.08,"1,575.92"
1998,Louisiana,"1,260.50",902.33,"2,162.83",923.78,675.09,"1,598.87"
1999,Louisiana,"1,323.00",946.16,"2,269.17",954.45,690.99,"1,645.44"
2000,Louisiana,"1,324.13","1,008.22","2,332.35",930.27,719.99,"1,650.26"
2001,Louisiana,"1,332.92","1,024.64","2,357.56",910.42,712.59,"1,623.01"
2002,Louisiana,"1,313.58","1,040.82","2,354.40",885.69,707.76,"1,593.45"
2003,Louisiana,"1,358.25","1,112.92","2,471.17",896.45,739.13,"1,635.57"
2004,Louisiana,"1,441.54","1,197.91","2,639.45",915.33,771.71,"1,687.03"
2005,Louisiana,"1,512.52","1,218.60","2,731.12",941.25,762.95,"1,704.20"
2006,Louisiana,"1,641.64","1,298.80","2,940.44","1,002.16",788.95,"1,791.11"
2007,Louisiana,"1,730.68","1,369.97","3,100.65","1,013.99",804.69,"1,818.69"
2008,Louisiana,"1,830.80","1,399.66","3,230.47","1,005.08",785.96,"1,791.03"
2009,Louisiana,"1,822.29","1,392.53","3,214.82",992.84,754.56,"1,747.40"
2010,Louisiana,"1,866.21","1,416.79","3,283.01","1,010.82",758.04,"1,768.87"
2011,Louisiana,"1,977.12","1,512.88","3,490.00","1,018.75",791.84,"1,810.59"
2012,Louisiana,"2,137.58","1,587.06","3,724.64","1,072.45",808.42,"1,880.88"
2013,Louisiana,"2,128.17","1,668.91","3,797.08","1,055.19",831.04,"1,886.23"
2014,Louisiana,"2,190.04","1,801.67","3,991.70","1,060.03",876.50,"1,936.54"
2015,Louisiana,"2,210.17","1,956.59","4,166.76","1,058.85",923.68,"1,982.53"
2016,Louisiana,"2,207.07","2,061.70","4,268.77","1,072.60",954.24,"2,026.83"
2017,Louisiana,"2,353.65","2,180.51","4,534.16","1,146.38",989.30,"2,135.69"
2018,Louisiana,"2,411.71","2,289.65","4,701.35","1,171.16","1,017.35","2,188.51"
2019,Louisiana,"2,462.59","2,394.15","4,856.74","1,187.69","1,032.06","2,219.75"
2020,Louisiana,"2,598.65","2,123.52","4,722.17","1,210.71",891.06,"2,101.78"
2021,Louisiana,"2,795.77","2,604.69","5,400.46","1,259.30","1,052.28","2,311.57"
2022,Louisiana,"2,870.04","2,857.83","5,727.88","1,160.68","1,071.30","2,231.98"
2023,Louisiana,"2,938.10","3,058.07","5,996.17","1,127.93","1,070.23","2,198.16"
1997,Maine,"1,646.39",974.60,"2,620.99","1,215.39",771.86,"1,987.25"
1998,Maine,"1,712.62","1,019.32","2,731.94","1,245.73",787.54,"2,033.28"
1999,Maine,"1,798.87","1,055.12","2,853.99","1,281.06",792.43,"2,073.50"
2000,Maine,"1,873.19","1,124.22","2,997.41","1,312.78",826.65,"2,139.43"
2001,Maine,"1,980.39","1,155.84","3,136.23","1,345.13",825.41,"2,170.54"
2002,Maine,"2,033.48","1,190.32","3,223.80","1,366.37",829.42,"2,195.79"
2003,Maine,"2,116.33","1,248.10","3,364.43","1,390.63",851.84,"2,242.47"
2004,Maine,"2,237.41","1,307.65","3,545.06","1,407.99",869.02,"2,277.01"
2005,Maine,"2,306.67","1,337.65","3,644.32","1,414.19",864.41,"2,278.60"
2006,Maine,"2,368.06","1,398.01","3,766.07","1,419.64",871.77,"2,291.41"
2007,Maine,"2,505.98","1,436.24","3,942.21","1,445.88",859.35,"2,305.23"
2008,Maine,"2,607.96","1,456.02","4,063.98","1,416.92",833.74,"2,250.67"
2009,Maine,"2,508.20","1,451.61","3,959.81","1,349.40",803.84,"2,153.23"
2010,Maine,"2,462.40","1,501.54","3,963.94","1,312.34",818.72,"2,131.07"
2011,Maine,"2,524.95","1,564.96","4,089.91","1,290.18",832.86,"2,123.03"
2012,Maine,"2,598.08","1,625.17","4,223.25","1,292.12",842.30,"2,134.43"
2013,Maine,"2,721.09","1,754.86","4,475.95","1,342.10",894.45,"2,236.55"
2014,Maine,"2,833.81","1,896.38","4,730.19","1,374.23",945.75,"2,319.99"
2015,Maine,"2,880.63","2,073.89","4,954.52","1,377.92","1,010.78","2,388.70"
2016,Maine,"2,979.33","2,237.87","5,217.20","1,444.46","1,062.41","2,506.87"
2017,Maine,"3,079.25","2,447.42","5,526.67","1,490.59","1,135.18","2,625.77"
2018,Maine,"3,258.09","2,572.78","5,830.87","1,557.96","1,161.25","2,719.21"
2019,Maine,"3,377.85","2,680.23","6,058.08","1,602.39","1,176.03","2,778.42"
2020,Maine,"3,533.94","2,249.32","5,783.26","1,620.89",952.51,"2,573.40"
2021,Maine,"3,832.02","2,882.36","6,714.38","1,717.29","1,165.09","2,882.37"
2022,Maine,"3,948.68","3,237.90","7,186.59","1,606.92","1,224.48","2,831.39"
2023,Maine,"3,913.04","3,428.65","7,341.69","1,519.75","1,213.29","2,733.04"
1997,Maryland,"1,502.63",935.20,"2,437.83","1,117.54",718.12,"1,835.66"
1998,Maryland,"1,496.23",980.76,"2,476.98","1,096.54",733.77,"1,830.31"
1999,Maryland,"1,571.13","1,012.51","2,583.63","1,133.45",739.45,"1,872.89"
2000,Maryland,"1,629.70","1,066.28","2,695.98","1,144.95",761.45,"1,906.40"
2001,Maryland,"1,687.39","1,092.42","2,779.81","1,152.53",759.73,"1,912.26"
2002,Maryland,"1,691.00","1,153.68","2,844.69","1,140.17",784.51,"1,924.67"
2003,Maryland,"1,781.55","1,233.69","3,015.24","1,175.83",819.33,"1,995.16"
2004,Maryland,"1,835.40","1,325.12","3,160.53","1,165.42",853.66,"2,019.07"
2005,Maryland,"1,830.77","1,409.45","3,240.22","1,139.30",882.44,"2,021.74"
2006,Maryland,"1,963.35","1,489.88","3,453.24","1,198.56",905.02,"2,103.58"
2007,Maryland,"2,067.99","1,579.06","3,647.05","1,211.62",927.51,"2,139.13"
2008,Maryland,"2,095.29","1,599.33","3,694.62","1,150.27",898.08,"2,048.35"
2009,Maryland,"2,023.66","1,558.33","3,581.98","1,102.55",844.40,"1,946.95"
2010,Maryland,"2,026.62","1,564.98","3,591.60","1,097.70",837.33,"1,935.04"
2011,Maryland,"2,047.41","1,626.93","3,674.33","1,054.96",851.54,"1,906.50"
2012,Maryland,"2,097.08","1,714.56","3,811.64","1,052.14",873.37,"1,925.51"
2013,Maryland,"2,178.63","1,804.33","3,982.96","1,080.21",898.47,"1,978.68"
2014,Maryland,"2,216.46","1,924.23","4,140.69","1,072.82",936.13,"2,008.95"
2015,Maryland,"2,183.17","2,085.78","4,268.96","1,045.92",984.68,"2,030.59"
2016,Maryland,"2,191.89","2,205.85","4,397.73","1,065.22","1,020.95","2,086.17"
2017,Maryland,"2,184.76","2,349.16","4,533.92","1,064.12","1,065.82","2,129.95"
2018,Maryland,"2,245.16","2,431.25","4,676.41","1,090.28","1,080.27","2,170.55"
2019,Maryland,"2,275.78","2,525.12","4,800.91","1,097.60","1,088.52","2,186.11"
2020,Maryland,"2,384.32","2,091.05","4,475.37","1,110.86",877.44,"1,988.30"
2021,Maryland,"2,610.78","2,593.23","5,204.00","1,175.97","1,047.65","2,223.62"
2022,Maryland,"3,023.41","2,965.18","5,988.59","1,222.70","1,111.54","2,334.24"
2023,Maryland,"3,118.06","3,179.23","6,297.30","1,197.02","1,112.63","2,309.65"
1997,Massachusetts,"1,505.62","1,104.47","2,610.08","1,111.47",874.71,"1,986.18"
1998,Massachusetts,"1,534.05","1,160.39","2,694.44","1,115.84",896.53,"2,012.38"
1999,Massachusetts,"1,618.63","1,216.44","2,835.08","1,152.71",913.60,"2,066.30"
2000,Massachusetts,"1,601.75","1,271.97","2,873.72","1,122.55",935.29,"2,057.84"
2001,Massachusetts,"1,638.46","1,318.57","2,957.02","1,112.88",941.62,"2,054.50"
2002,Massachusetts,"1,683.98","1,384.83","3,068.81","1,131.53",964.95,"2,096.48"
2003,Massachusetts,"1,703.47","1,448.33","3,151.80","1,119.34",988.50,"2,107.84"
2004,Massachusetts,"1,753.01","1,531.33","3,284.34","1,103.16","1,017.66","2,120.83"
2005,Massachusetts,"1,807.62","1,597.72","3,405.33","1,108.22","1,032.47","2,140.70"
2006,Massachusetts,"1,851.18","1,682.69","3,533.87","1,109.78","1,049.29","2,159.07"
2007,Massachusetts,"1,906.75","1,762.17","3,668.92","1,100.14","1,054.37","2,154.51"
2008,Massachusetts,"1,978.56","1,795.09","3,773.66","1,074.97","1,027.90","2,102.87"
2009,Massachusetts,"1,948.95","1,766.90","3,715.85","1,048.52",978.43,"2,026.95"
2010,Massachusetts,"1,998.83","1,827.95","3,826.78","1,065.28",996.70,"2,061.98"
2011,Massachusetts,"2,103.05","1,931.12","4,034.17","1,074.60","1,027.73","2,102.33"
2012,Massachusetts,"2,159.89","2,027.64","4,187.53","1,074.20","1,050.90","2,125.10"
2013,Massachusetts,"2,217.84","2,131.51","4,349.35","1,093.89","1,086.43","2,180.32"
2014,Massachusetts,"2,278.30","2,282.47","4,560.77","1,104.84","1,138.31","2,243.15"
2015,Massachusetts,"2,344.72","2,473.92","4,818.64","1,121.58","1,205.74","2,327.32"
2016,Massachusetts,"2,365.93","2,640.47","5,006.40","1,147.06","1,253.54","2,400.61"
2017,Massachusetts,"2,421.43","2,831.03","5,252.46","1,172.16","1,313.11","2,485.26"
2018,Massachusetts,"2,510.31","2,959.02","5,469.33","1,200.38","1,335.58","2,535.97"
2019,Massachusetts,"2,585.50","3,069.73","5,655.23","1,226.51","1,346.93","2,573.45"
2020,Massachusetts,"2,637.35","2,394.04","5,031.40","1,209.66","1,013.79","2,223.45"
2021,Massachusetts,"2,732.36","3,077.23","5,809.59","1,224.48","1,243.85","2,468.34"
2022,Massachusetts,"3,132.92","3,724.62","6,857.54","1,274.94","1,408.54","2,683.48"
2023,Massachusetts,"3,175.14","4,154.04","7,329.18","1,233.16","1,469.98","2,703.15"
1997,Michigan,"1,238.73",851.68,"2,090.41",926.44,649.50,"1,575.93"
1998,Michigan,"1,252.66",876.99,"2,129.65",920.11,651.94,"1,572.04"
1999,Michigan,"1,310.74",897.89,"2,208.62",942.91,651.05,"1,593.96"
2000,Michigan,"1,387.82",972.28,"2,360.10",975.80,685.60,"1,661.40"
2001,Michigan,"1,423.89",984.06,"2,407.95",970.91,674.54,"1,645.45"
2002,Michigan,"1,407.00","1,020.75","2,427.75",952.06,684.95,"1,637.02"
2003,Michigan,"1,427.93","1,051.49","2,479.42",952.78,691.80,"1,644.58"
2004,Michigan,"1,466.17","1,099.99","2,566.16",950.74,702.92,"1,653.66"
2005,Michigan,"1,501.67","1,140.38","2,642.05",953.35,704.67,"1,658.02"
2006,Michigan,"1,533.99","1,182.80","2,716.79",958.54,711.49,"1,670.03"
2007,Michigan,"1,576.19","1,206.67","2,782.85",947.27,701.69,"1,648.96"
2008,Michigan,"1,627.37","1,220.19","2,847.57",919.19,677.44,"1,596.64"
2009,Michigan,"1,588.50","1,189.82","2,778.32",888.81,636.81,"1,525.62"
2010,Michigan,"1,637.15","1,221.42","2,858.57",911.96,646.61,"1,558.57"
2011,Michigan,"1,705.01","1,288.55","2,993.56",907.11,665.38,"1,572.49"
2012,Michigan,"1,815.61","1,364.76","3,180.37",941.29,684.82,"1,626.11"
2013,Michigan,"1,907.20","1,431.68","3,338.88",983.33,701.47,"1,684.81"
